Id,price,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,reviews_per_month
10,200,f,1,f,-33.82577779,151.2490132,Apartment,Entire home/apt,4,1,2,3,500,130,10,5,1125,1,100,10,8,8,8,10,10,f,f,strict,1
11,134,f,1,t,-33.90511174,151.182511,Apartment,Entire home/apt,3,1,1,1,500,50,50,3,42,30,98,10,10,10,10,10,10,f,t,moderate,0.53
12,180,f,1,t,-33.88879232,151.2399847,Apartment,Private room,2,1,1,1,130,55,0,1,1125,12,100,10,10,10,10,9,10,f,f,moderate,1.47
13,101,f,2,f,-33.94510803,151.2572223,Apartment,Shared room,1,1,1,1,,,0,1,1125,0,,,,,,,,t,f,flexible,
14,105,f,1,f,-33.73880866,151.149844,Guest suite,Entire home/apt,4,1,0,1,,,0,2,1125,13,98,10,10,10,10,10,10,f,f,flexible,3.39
15,100,f,1,f,-33.89069493,151.2305385,Apartment,Private room,2,1,1,1,0,40,40,1,15,30,88,9,9,10,10,9,9,f,f,strict,3.36
16,70,f,1,f,-33.89279429,151.2595282,Apartment,Private room,2,1,1,1,,,0,7,1125,0,,,,,,,,f,f,moderate,
17,120,f,1,t,-33.88141602,151.2224236,Apartment,Entire home/apt,2,1,1,1,0,60,0,3,29,15,93,10,10,10,10,10,10,f,f,strict,0.29
18,70,f,1,f,-33.75211576,151.2898417,Apartment,Private room,2,1,1,1,,,0,5,24,2,100,9,8,7,7,9,10,f,f,flexible,0.09
19,60,f,1,t,-33.74207814,151.2068276,House,Private room,2,1,1,1,,,0,2,3,0,,,,,,,,f,f,flexible,
20,49,f,2,f,-33.92015915,151.2364712,House,Shared room,4,2,1,4,1000,30,0,1,15,4,67,5,5,9,8,9,7,t,f,strict,3.53
21,180,f,1,f,-33.86956635,151.2036439,Apartment,Entire home/apt,2,1,1,1,400,60,0,1,1125,8,95,10,10,9,9,10,9,t,f,moderate,0.89
22,300,f,198,f,-33.77204869,151.2674868,House,Entire home/apt,4,1,2,2,400,235,0,3,1125,1,100,10,10,6,10,10,10,t,f,strict,1
23,106,f,1,t,-33.92260522,151.1869382,Apartment,Entire home/apt,4,2,2,2,,,0,7,1125,2,80,7,7,7,8,8,7,f,f,flexible,0.55
24,227,f,1,t,-33.89903459,151.2661523,Apartment,Entire home/apt,4,1,2,2,350,90,0,2,1125,32,93,10,9,10,10,10,9,f,f,strict,1.07
25,200,f,1,f,-33.88642421,151.2687053,Apartment,Entire home/apt,4,2,2,2,500,80,0,6,1125,0,,,,,,,,f,f,strict,
26,42,f,16,f,-33.881019,151.0995395,House,Private room,1,1,1,1,,20,0,1,1125,0,,,,,,,,f,f,strict,
27,95,t,2,t,-33.93892378,151.2384549,Apartment,Private room,2,1,1,1,,,35,1,1125,8,100,10,10,10,10,10,10,t,f,moderate,2.31
28,27,f,7,t,-33.94750145,151.1456746,Other,Shared room,2,0,1,1,0,7,15,1,7,1,80,8,8,10,8,8,8,f,f,strict,0.81
29,80,f,1,f,-33.86632335,151.2768023,Townhouse,Private room,2,3,2,1,1000,250,0,7,30,0,,,,,,,,t,f,strict,
30,151,f,129,t,-33.82093526,151.0017048,Apartment,Entire home/apt,4,1,2,2,500,305,0,7,1125,3,100,10,10,9,9,10,10,f,f,strict,0.14
31,85,f,3,f,-33.9187266,151.196915,Apartment,Private room,2,2,2,2,,30,25,2,1125,6,100,10,10,10,10,10,10,t,f,moderate,0.52
32,128,f,1,t,-33.88570252,151.209125,Apartment,Entire home/apt,2,1,1,1,500,40,20,2,1125,0,,,,,,,,f,f,flexible,
33,126,f,22,t,-33.84803639,151.2050683,Apartment,Entire home/apt,2,1,1,1,500,330,0,5,1125,0,,,,,,,,f,f,strict,
34,200,f,1,f,-33.89092844,151.1398772,Apartment,Entire home/apt,4,1,3,3,0,45,35,2,1125,13,86,10,9,10,10,10,9,t,f,moderate,2.55
35,118,f,6,t,-33.96258677,151.1311464,Apartment,Entire home/apt,6,1,2,3,300,98,15,2,1125,23,87,9,9,10,10,10,9,t,f,strict,2.53
36,145,f,3,t,-33.89263089,151.1868196,House,Entire home/apt,5,1,2,2,,20,0,1,1125,0,,,,,,,,f,f,moderate,
37,229,f,22,t,-33.87253666,151.2740598,Apartment,Entire home/apt,4,2,2,3,1500,375,0,5,1125,7,100,10,10,10,9,9,9,f,f,strict,0.3
38,380,f,1,f,-33.78923902,151.2870438,Apartment,Entire home/apt,4,2,2,3,200,150,0,3,1125,1,80,8,2,10,10,10,8,t,f,moderate,1
39,126,f,1,f,-33.75401872,151.2949575,Apartment,Entire home/apt,3,1,2,2,,,0,5,15,2,100,10,9,10,10,8,10,t,f,moderate,2
40,60,f,1,f,-33.80438416,151.0200211,House,Private room,1,1,1,1,,,0,1,1125,0,,,,,,,,f,f,flexible,
41,56,f,1,f,-34.05824747,151.1511589,Apartment,Private room,2,1,1,1,,25,0,1,1125,2,100,10,10,10,10,10,10,t,f,flexible,2
42,260,f,3,f,-33.90356712,151.2114646,Apartment,Entire home/apt,6,2,2,4,500,120,20,1,1125,0,,,,,,,,t,f,flexible,
43,75,f,1,t,-33.87440166,151.2201876,Apartment,Private room,2,1,1,1,0,50,75,3,1125,0,,,,,,,,t,f,flexible,
44,105,f,1,t,-33.95313982,151.2291781,Apartment,Entire home/apt,4,1,2,2,,30,30,2,1125,13,92,10,9,10,10,9,10,t,f,strict,0.62
45,58,f,16,t,-33.95830216,151.1085227,House,Private room,2,2,1,1,150,,20,2,1125,0,,,,,,,,f,f,strict,
46,150,t,3,t,-33.88704896,151.2729881,Apartment,Entire home/apt,2,1,1,3,500,139,50,1,1125,6,100,10,10,10,10,10,10,f,t,strict,0.48
47,385,f,1,f,-33.8030216,151.2416523,House,Entire home/apt,8,4,4,6,1000,130,0,14,60,1,,,,,,,,f,f,strict,0.06
48,90,t,1,f,-33.72041209,150.9780186,House,Private room,2,1,2,1,,,0,1,1125,12,95,10,10,10,10,10,10,f,f,flexible,1.35
49,150,f,3,t,-33.7952606,151.2862384,Apartment,Entire home/apt,4,1,1,2,500,100,0,2,1125,46,93,9,10,10,10,10,9,f,t,strict,2.94
50,70,f,2,f,-33.79707573,151.2817201,Apartment,Private room,2,1,0,1,,,0,4,12,0,,,,,,,,t,f,flexible,
51,46,f,1,f,-33.89838285,151.1801795,Apartment,Private room,1,1,1,1,,,0,2,45,2,80,8,10,10,10,8,10,t,f,strict,0.62
52,80,f,1,t,-33.89713672,151.214805,Apartment,Private room,2,1,1,1,,,0,10,1125,0,,,,,,,,f,f,flexible,
53,89,f,1,f,-33.74125519,151.2796658,Guesthouse,Entire home/apt,2,1,1,1,0,20,0,2,14,0,,,,,,,,t,f,flexible,
54,300,f,1,f,-33.91508546,151.2038297,Apartment,Entire home/apt,4,2,2,2,500,60,60,2,1125,0,,,,,,,,t,f,moderate,
55,141,f,3,f,-33.83636176,151.2074288,Apartment,Entire home/apt,4,1,1,2,300,80,10,2,1125,2,90,10,10,10,10,10,10,t,f,moderate,2
56,49,f,1,t,-33.88727276,151.2440638,Apartment,Private room,1,1,1,1,,,0,4,14,1,80,10,8,10,10,8,8,f,f,flexible,0.19
57,38,f,2,f,-34.07783628,150.8213464,House,Private room,1,1,1,1,130,,0,1,1125,43,90,10,9,10,10,9,10,f,f,strict,1.5
58,126,f,2,f,-33.88925478,151.2720145,Apartment,Private room,2,1,1,1,,90,0,1,3,0,,,,,,,,f,f,flexible,
59,110,f,1,t,-33.9018487,151.2069615,Condominium,Entire home/apt,2,1,1,1,,,0,2,1125,0,,,,,,,,f,f,flexible,
60,120,f,1,t,-33.65322297,150.9236065,Bed & Breakfast,Private room,4,1.5,2,2,,,50,1,7,0,,,,,,,,f,f,flexible,
61,115,f,1,t,-33.87335529,151.2232107,Apartment,Entire home/apt,2,1,0,1,250,50,0,2,1125,4,90,10,10,10,10,10,9,t,f,moderate,2.35
62,80,f,1,f,-33.89051446,151.264272,Apartment,Private room,1,1,1,1,0,40,0,3,30,4,100,10,10,10,10,10,10,f,f,moderate,1.3
63,90,f,1,f,-33.79383156,151.2622238,House,Entire home/apt,2,1,1,1,,15,0,3,1125,0,,,,,,,,f,f,moderate,
64,90,f,1,f,-33.75119168,151.2699329,House,Entire home/apt,4,1,2,2,1000,,0,1,1125,0,,,,,,,,f,f,flexible,
65,57,f,1,f,-33.71326527,151.1345259,House,Private room,1,1,1,1,,19,0,2,1125,2,100,10,10,10,10,10,10,t,f,flexible,0.78
66,160,f,1,t,-33.82909679,151.1971814,Townhouse,Entire home/apt,6,2.5,3,3,,80,0,4,1125,15,93,9,9,10,10,10,10,f,f,moderate,0.34
67,95,f,1,f,-33.89148594,151.2721498,Apartment,Private room,2,1,1,1,,,0,1,1125,0,,,,,,,,f,f,flexible,
68,79,f,4,f,-33.76462276,150.7923054,House,Entire home/apt,6,1.5,2,2,200,69,20,1,1125,6,93,9,10,10,10,8,9,f,f,strict,3.67
69,160,f,1,t,-33.65095277,151.3118306,House,Entire home/apt,5,2,3,5,1000,300,0,3,1125,0,,,,,,,,f,f,moderate,
70,180,f,1,t,-33.87359781,151.2080927,Apartment,Entire home/apt,2,1,1,1,150,20,0,2,1125,74,86,9,8,9,9,10,9,f,f,strict,3.11
71,210,f,1,t,-33.88278657,151.2172986,Apartment,Entire home/apt,4,1,2,2,200,,0,7,1125,1,80,8,8,8,8,10,10,f,f,flexible,0.05
72,191,f,91,t,-33.87631056,151.2412001,Apartment,Entire home/apt,2,1,1,1,1000,200,0,5,1125,0,,,,,,,,f,f,strict,
73,75,f,3,t,-33.88460894,151.211143,Apartment,Entire home/apt,2,1,2,2,200,50,0,2,1125,0,,,,,,,,f,f,moderate,
74,195,f,1,t,-33.90448057,151.2082194,Townhouse,Entire home/apt,2,1.5,1,1,,,0,3,7,2,100,10,10,10,10,9,10,f,f,strict,0.09
75,255,t,3,t,-33.88812137,151.2784535,Apartment,Entire home/apt,2,1,1,1,888,88,55,2,30,1,100,8,10,10,10,10,10,f,f,strict,0.04
76,250,f,1,f,-33.83731404,151.2059004,Apartment,Entire home/apt,3,2,2,2,,,0,7,20,1,,,,,,,,t,f,flexible,1
77,195,t,1,t,-33.89326173,151.2710974,Apartment,Entire home/apt,4,1,1,2,,85,0,2,1125,12,95,10,9,10,10,10,9,f,f,moderate,0.8
78,160,f,1,f,-33.8896535,151.1884123,Apartment,Entire home/apt,4,1,2,2,300,65,20,2,1125,24,91,10,8,10,10,10,10,t,f,strict,0.49
79,180,f,3,f,-33.88755573,151.2094303,Apartment,Entire home/apt,4,1,1,2,350,40,40,3,1125,6,90,10,9,10,10,9,9,f,f,strict,0.47
80,200,t,4,f,-33.60063531,151.3225218,House,Private room,2,1,1,1,,,100,1,7,12,98,10,10,10,10,10,9,f,f,moderate,0.47
81,139,f,1,f,-33.75318158,151.2875517,Apartment,Entire home/apt,2,2,2,1,,,0,5,12,1,100,10,10,10,10,10,10,f,f,flexible,0.04
82,75,f,1,f,-33.88695052,151.272183,Apartment,Private room,2,1,1,1,0,0,50,5,1126,0,,,,,,,,f,f,flexible,
83,350,f,1,f,-33.8473405,151.1555648,Apartment,Entire home/apt,6,2,3,6,500,150,100,5,1125,0,,,,,,,,t,f,flexible,
84,300,f,1,t,-33.89906235,151.2132072,Apartment,Entire home/apt,2,2,1,1,,60,0,5,10,1,100,10,10,10,10,10,10,t,f,strict,0.08
85,216,f,3,t,-33.87525864,151.2077959,Apartment,Entire home/apt,4,1,1,2,,30,0,2,1125,110,96,10,10,10,10,10,10,t,t,strict,4.41
86,49,t,2,f,-33.77642995,151.042635,House,Private room,1,1.5,1,1,200,15,25,2,28,25,98,10,10,10,10,9,10,f,f,moderate,0.89
87,118,f,1,t,-33.88227869,151.2775897,Apartment,Entire home/apt,4,1,2,2,500,74,0,13,1125,3,100,10,9,10,10,10,10,f,f,strict,0.15
88,300,f,1,f,-33.88501453,151.2719972,Apartment,Entire home/apt,4,1,2,2,500,50,0,5,1125,0,,,,,,,,f,f,strict,
89,41,f,1,t,-33.90992062,151.2394197,Apartment,Private room,2,1,1,1,194,,30,4,1125,7,100,10,9,10,10,10,10,f,f,strict,0.54
90,86,f,4,t,-33.85000886,151.1370237,House,Private room,2,1,1,1,158,34,8,5,1125,0,,,,,,,,f,f,moderate,
91,47,f,3,t,-33.87756543,151.2248029,Apartment,Private room,1,1,1,1,,,0,4,1125,3,100,9,10,10,10,10,10,f,f,flexible,0.2
92,345,f,205,t,-33.87264409,151.1546767,House,Entire home/apt,6,3,3,4,500,370,0,4,1125,1,100,8,10,10,10,10,10,f,f,strict,1
93,100,f,1,t,-33.81922236,151.0075416,Apartment,Entire home/apt,4,2,2,2,,,0,5,20,2,100,10,10,8,10,6,10,f,f,moderate,0.06
94,60,f,1,f,-33.88670057,151.2140264,House,Private room,2,1,1,1,,,0,5,1125,1,,,,,,,,f,f,flexible,0.33
95,65,f,1,f,-33.89972044,151.2118981,Apartment,Private room,2,1,1,1,200,75,10,1,7,2,100,10,10,10,10,10,10,f,f,moderate,0.34
96,118,f,2,t,-33.88720857,151.2823746,Apartment,Entire home/apt,2,1,1,1,500,60,0,2,1125,3,80,9,10,9,9,9,9,f,f,strict,1.25
97,160,f,1,t,-33.81872391,151.1703614,House,Entire home/apt,2,1,1,1,,,0,2,1125,7,100,10,10,10,10,10,10,f,f,moderate,0.18
98,300,t,2,t,-33.75123382,151.1458283,House,Entire home/apt,5,2,3,4,,,0,7,1125,0,,,,,,,,f,f,flexible,
99,68,f,1,f,-33.82534247,151.2295048,Apartment,Private room,1,1.5,1,1,,,0,1,1125,0,,,,,,,,f,f,flexible,
100,131,f,1,f,-33.71115239,150.9938384,Bed & Breakfast,Private room,2,1,1,1,,,0,2,15,0,,,,,,,,f,f,flexible,
101,41,f,2,t,-33.86103229,151.2794846,Apartment,Private room,2,1,2,2,,,0,21,25,0,,,,,,,,f,f,flexible,
102,225,f,3,t,-33.77430887,151.2867003,House,Entire home/apt,7,2,4,3,1200,150,0,60,180,1,100,8,10,10,10,10,8,f,f,moderate,0.02
103,99,f,5,t,-33.86056994,151.1789236,House,Private room,2,1,1,1,,25,0,2,1125,77,92,9,9,10,10,10,9,t,f,flexible,4.13
104,235,f,1,f,-33.89876723,151.1899921,Apartment,Entire home/apt,4,1,2,2,1000,169,0,5,1125,1,100,10,10,10,10,10,10,t,f,moderate,1
105,95,f,1,t,-33.80176741,151.2904397,Apartment,Private room,2,1,1,1,,25,20,2,1125,3,80,8,3,10,10,8,7,f,f,flexible,2.37
106,84,t,4,t,-33.87374184,151.2154107,Townhouse,Private room,2,1,1,1,,55,0,3,65,27,96,10,10,10,10,10,9,f,f,strict,4.5
107,200,t,1,f,-33.90164695,151.1743132,House,Entire home/apt,4,1,2,2,200,80,30,2,31,10,98,10,10,10,10,10,10,f,f,moderate,1.31
108,160,f,45,t,-33.88889621,151.269604,Apartment,Entire home/apt,2,1,0,1,1000,150,0,5,1125,2,60,8,8,6,6,10,7,t,f,strict,0.42
109,80,f,1,t,-33.88816789,151.24425,Apartment,Private room,2,1,1,1,250,20,0,5,19,0,,,,,,,,f,f,strict,
110,250,f,1,t,-33.87766583,151.2262933,Apartment,Entire home/apt,2,1.5,1,1,,,0,5,1125,0,,,,,,,,f,f,strict,
111,190,f,1,t,-33.88497226,151.2765665,Apartment,Entire home/apt,2,1,1,1,,100,0,3,1125,0,,,,,,,,f,f,flexible,
112,300,f,198,f,-33.88577586,151.2112256,House,Entire home/apt,6,1,2,3,400,235,25,3,1125,2,90,10,9,10,10,10,10,t,f,strict,0.08
113,51,f,1,f,-33.9060581,151.2149628,Apartment,Private room,2,1,1,1,,,0,1,1125,2,100,10,9,10,10,10,10,f,f,moderate,0.17
114,75,f,1,t,-33.88696211,151.1367883,House,Private room,1,1,1,1,,,0,1,1125,57,98,10,10,10,10,10,10,f,f,strict,2.31
115,265,f,1,t,-33.88380626,151.2163774,Apartment,Entire home/apt,2,1,1,1,400,65,0,5,1125,0,,,,,,,,f,f,strict,
116,89,f,2,t,-33.87206333,151.2269667,Apartment,Entire home/apt,2,1,0,1,,50,0,2,1125,10,82,9,8,10,9,10,9,f,f,strict,1.69
117,100,f,1,t,-33.87175978,151.2699046,Apartment,Private room,1,1,1,1,250,50,30,10,26,0,,,,,,,,f,f,flexible,
118,300,f,1,t,-33.80087923,151.2860248,Apartment,Entire home/apt,2,1,1,1,1000,150,25,5,60,0,,,,,,,,t,f,strict,
119,401,f,26,t,-33.88405662,151.2401914,Apartment,Entire home/apt,6,1,3,3,1000,350,0,3,1125,1,100,10,10,10,10,10,10,f,f,strict,1
120,180,f,1,f,-33.92090485,151.2549566,Apartment,Entire home/apt,4,1,2,2,,,0,7,14,1,,,,,,,,t,f,flexible,0.07
121,150,f,1,t,-33.87243062,151.2295714,Apartment,Entire home/apt,4,2,2,2,500,,0,5,30,1,100,10,10,10,10,10,10,f,f,flexible,0.04
122,44,t,4,f,-33.98708546,151.0930552,House,Private room,4,2,1,1,350,50,20,1,1125,5,92,10,10,10,10,8,10,t,f,strict,0.67
123,42,f,2,f,-33.92189402,151.2531819,Apartment,Private room,1,1,1,1,500,,0,1,1125,0,,,,,,,,t,f,flexible,
124,180,f,2,t,-33.90680424,151.2373365,Apartment,Entire home/apt,4,1,2,2,500,80,0,2,1125,11,98,10,10,10,10,10,10,f,t,moderate,1.52
125,139,f,34,t,-33.89543918,151.1816841,Apartment,Entire home/apt,2,1,1,1,150,109,0,2,1125,11,91,9,9,10,9,10,9,f,f,strict,2.12
126,55,f,1,f,-33.90837825,151.2516189,Apartment,Private room,1,1,1,1,,,0,2,1125,0,,,,,,,,t,f,flexible,
127,131,f,16,f,-33.91140065,151.2115581,Condominium,Entire home/apt,4,2,2,2,300,60,100,6,60,0,,,,,,,,t,f,strict,
128,195,f,2,t,-33.90576004,151.2676227,Apartment,Entire home/apt,2,1,1,1,,80,0,2,1125,1,100,10,10,10,10,10,10,f,f,strict,1
129,138,f,1,t,-33.80099687,151.2882679,Apartment,Entire home/apt,2,1,1,1,,50,20,3,1125,37,94,10,9,10,10,10,9,t,f,moderate,1.36
130,75,f,1,f,-33.93002215,151.1228862,House,Entire home/apt,2,1,1,1,,,20,1,1125,3,,,,,,,,t,f,moderate,0.62
131,63,f,2,t,-33.89467303,151.1808353,Loft,Private room,1,1,1,1,,,0,1,1,0,,,,,,,,f,f,flexible,
132,90,f,2,t,-33.89383739,151.2666824,Apartment,Private room,2,1,1,1,150,,10,2,5,38,94,10,9,10,10,10,9,f,f,moderate,1.03
133,85,t,1,f,-33.9396879,151.2471717,Apartment,Entire home/apt,2,1,1,1,200,20,30,1,40,28,99,10,10,10,10,9,10,t,f,moderate,9.13
134,49,f,2,t,-33.88589225,151.2686243,Apartment,Private room,1,1,1,1,,,0,5,1125,2,100,10,8,10,8,10,10,f,f,flexible,0.41
135,229,f,1,f,-33.84331232,151.2099049,Apartment,Entire home/apt,2,1,1,1,150,80,0,5,1125,8,97,9,10,10,10,10,9,f,f,strict,0.32
136,285,f,1,f,-33.88966893,151.2836631,Apartment,Entire home/apt,4,1,2,2,,50,0,4,1125,1,80,6,6,8,6,8,6,f,f,flexible,0.03
137,75,f,1,t,-33.95319021,151.2444943,Apartment,Private room,2,1.5,1,1,300,60,0,2,1125,1,100,10,10,10,10,10,10,f,f,moderate,0.3
138,38,f,1,f,-33.8720556,151.2227013,Apartment,Private room,2,1,1,,150,,0,4,1125,3,73,9,7,10,9,10,9,f,f,flexible,0.19
139,158,f,9,t,-33.84752646,151.0746725,Apartment,Entire home/apt,4,1,1,2,135,50,30,1,1125,72,93,9,10,10,9,10,9,t,t,strict,4.41
140,49,f,1,f,-33.78139813,151.2864289,Apartment,Private room,2,1,2,1,,,20,2,30,7,97,9,9,10,10,9,9,f,f,strict,0.74
141,120,f,1,t,-33.91604738,151.2464799,Apartment,Entire home/apt,4,1,2,2,,,0,3,1125,2,90,10,8,10,10,10,9,f,f,strict,0.11
142,200,f,1,t,-33.91560462,151.2073033,Apartment,Entire home/apt,6,2,2,3,0,100,0,1,1125,4,100,10,9,10,9,10,10,t,f,strict,4
143,401,f,1,t,-33.90389933,151.2570541,Apartment,Entire home/apt,7,1,2,4,,,0,2,14,0,,,,,,,,t,f,flexible,
144,150,f,1,f,-33.89881966,151.2125695,Apartment,Private room,2,1,1,1,200,,0,1,1125,5,96,10,10,10,10,9,10,f,f,moderate,0.17
145,170,f,1,f,-33.91289037,151.255407,House,Entire home/apt,2,1,1,1,,80,0,1,1125,0,,,,,,,,f,f,flexible,
146,65,f,1,f,-33.90526941,151.2654314,Apartment,Private room,2,1,1,1,,,10,2,90,31,98,10,10,10,10,10,10,f,f,moderate,2.25
147,200,f,1,f,-33.83270218,151.2251165,Apartment,Entire home/apt,5,1,3,3,500,125,0,7,25,2,100,10,10,10,10,10,10,f,f,moderate,0.16
148,28,f,3,t,-33.85157182,151.1589277,Apartment,Shared room,1,1,1,1,,10,0,2,11,65,92,9,9,9,10,9,10,f,f,moderate,2.63
149,270,f,2,t,-33.90158587,151.183437,House,Entire home/apt,5,2,2,3,250,,50,3,1125,14,85,9,7,9,9,9,8,t,f,strict,0.99
150,80,f,1,f,-33.89911615,151.252444,House,Private room,2,1,1,1,200,60,0,2,1125,0,,,,,,,,f,f,moderate,
151,110,f,1,f,-33.81299187,151.1056015,Apartment,Entire home/apt,4,2,2,3,200,60,30,2,1125,2,100,10,10,10,10,9,10,t,f,flexible,2
152,75,t,1,t,-33.75109498,151.2887775,Apartment,Private room,2,1,1,1,0,0,10,1,1125,48,99,10,10,10,10,10,10,f,f,flexible,2
153,180,f,1,t,-33.89546632,151.2648843,House,Entire home/apt,2,1,1,1,500,100,0,2,1125,0,,,,,,,,f,f,strict,
154,350,f,1,f,-33.90568175,151.2238138,House,Entire home/apt,6,2,3,6,300,100,50,2,1125,2,100,9,10,10,10,10,10,f,f,moderate,2
155,195,f,2,t,-33.88412206,151.2196868,House,Entire home/apt,4,1,2,2,750,75,0,2,14,8,83,9,8,10,9,10,8,f,f,strict,0.3
156,184,f,13,t,-33.87700853,151.2126342,Apartment,Entire home/apt,4,1,1,2,750,129,10,2,90,58,89,9,9,10,10,10,9,f,f,strict,1.6
157,245,f,1,f,-33.8965764,151.2613759,Apartment,Entire home/apt,2,1,1,1,500,80,0,4,30,1,100,,,,,,,f,f,strict,0.08
158,131,f,39,t,-33.88551839,151.2594912,Apartment,Entire home/apt,2,1,1,1,500,175,0,4,1125,1,80,10,10,10,10,10,10,f,f,strict,0.07
159,200,f,1,f,-33.87721043,151.22036,Apartment,Entire home/apt,2,1,1,1,300,105,50,5,14,1,100,10,10,10,10,10,10,f,f,strict,1
160,95,f,2,f,-33.92253428,151.2561585,Apartment,Private room,2,2,1,1,,40,0,3,90,2,100,10,10,8,9,10,10,f,f,flexible,0.81
161,90,f,1,t,-33.90715468,151.2617499,House,Private room,2,1,1,1,150,35,0,1,7,8,98,10,10,10,10,10,10,f,f,flexible,0.6
162,120,t,1,f,-33.87699222,151.2199035,Apartment,Entire home/apt,2,1,1,1,,,0,1,28,8,100,10,10,10,10,10,10,t,f,flexible,1.27
163,85,t,1,f,-33.93893585,151.1411599,House,Private room,2,1,1,1,,,0,1,30,35,99,10,10,10,10,10,10,t,f,flexible,4.2
164,41,f,12,f,-33.91830263,151.2202247,House,Private room,1,1,0,1,,,0,14,100,0,,,,,,,,t,f,strict,
165,75,f,1,t,-33.8282222,151.0845748,Apartment,Private room,1,1,1,1,500,10,40,1,5,10,100,10,10,10,10,10,10,t,f,moderate,1.09
166,27,f,1,t,-33.92194873,151.2331533,Apartment,Shared room,1,1,1,1,,,0,1,10,0,,,,,,,,t,f,flexible,
167,150,f,1,t,-33.88777187,151.2652562,Apartment,Entire home/apt,2,1,1,2,0,60,0,5,14,1,100,10,10,10,10,10,10,f,f,flexible,1
168,139,f,1,t,-33.90178882,151.2030733,Apartment,Entire home/apt,4,2,2,2,700,90,100,2,1125,5,100,10,9,10,10,10,10,f,f,strict,0.2
169,52,t,3,f,-33.76623455,151.1831297,House,Private room,2,0.5,1,1,,10,0,3,365,62,98,10,9,10,10,9,10,f,f,flexible,1.65
170,145,f,4,t,-33.86666229,151.1890941,Apartment,Private room,2,1,1,1,500,35,0,1,180,103,96,10,10,10,10,10,10,f,f,strict,2.1
171,120,f,1,t,-33.70550642,151.2879382,House,Entire home/apt,5,1,2,3,800,50,0,5,60,3,100,8,10,10,10,10,9,f,f,moderate,0.08
172,87,f,1,f,-33.89868342,151.2137545,Apartment,Private room,2,1,1,1,450,35,0,3,1125,0,,,,,,,,f,f,flexible,
173,300,f,1,f,-33.7793552,151.2912262,Apartment,Entire home/apt,4,1,2,2,,10,10,2,7,6,93,10,9,10,10,10,9,f,f,moderate,3.67
174,79,f,17,t,-34.07140974,150.7800487,House,Entire home/apt,4,1,1,2,500,116,39,1,1125,4,85,9,9,9,9,9,9,t,f,moderate,0.62
175,160,f,1,f,-33.74730865,151.2868545,Apartment,Entire home/apt,4,2,2,2,300,30,0,2,1125,0,,,,,,,,f,f,flexible,
176,185,f,1,t,-33.87371496,151.2255223,Apartment,Entire home/apt,2,1,1,1,200,60,0,2,60,0,,,,,,,,f,f,strict,
177,247,f,1,t,-33.82873454,151.2494008,Apartment,Entire home/apt,5,1,2,4,997,197,0,2,1125,22,91,10,10,10,10,10,9,f,f,strict,1.3
178,131,f,1,f,-33.88212906,151.2815081,Apartment,Private room,2,1,1,1,500,,0,3,9,0,,,,,,,,f,f,strict,
